lat,lon,AADT,year,route,ffc
42.338161,-71.046201,1154,,106460,7
42.338455,-71.045868,1154,,106460,7
42.338727,-71.045559,11091,2021,1799,4
42.312859,-71.199785,1154,,106468,7
42.313434,-71.199358,1154,,106468,7
42.315149,-71.197943,1154,,106468,7
42.315922,-71.196557,1154,,106468,7
42.263586,-70.976137,1154,,106471,7
42.363307,-71.19144,1154,,106481,7
42.364189,-71.191052,1154,,106481,7
42.295254,-71.053828,1154,,106488,7
42.265259,-70.981961,1154,,106511,7
42.264712,-70.979505,1154,,106511,7
42.312801,-71.107721,1154,,106532,7
42.256575,-71.096823,1154,,106536,7
42.257039,-71.096561,1154,,106536,7
42.257589,-71.095391,1154,,106536,7
42.212667,-70.989743,1154,,106548,7
42.213239,-70.989921,1154,,106548,7
42.322499,-71.070252,1154,,106555,7
42.322962,-71.068783,1154,,106555,7
42.323307,-71.068061,1154,,106555,7
42.28349,-71.169478,7679,2021,3033,5
42.391499,-71.00836,1154,,106561,7
42.200759,-70.997032,1154,,106562,7
42.200459,-70.995831,1154,,106562,7
42.200295,-70.995161,1154,,106562,7
42.427371,-71.09355,1154,,106570,7
42.397122,-71.117378,1154,,106580,7
42.281918,-71.068873,1154,,106588,7
42.281976,-71.06871,1154,,106588,7
42.282183,-71.068184,1154,,106588,7
42.283037,-71.065254,1154,,106588,7
42.448983,-71.004787,1154,,106608,7
42.449517,-71.005241,1154,,106608,7
42.272941,-71.100718,1154,,106609,7
42.273578,-71.100048,1154,,106609,7
42.2741,-71.099584,1154,,106609,7
42.250209,-71.010311,1154,,106626,7
42.251319,-71.011421,1154,,106626,7
42.251936,-71.012054,1154,,106626,7
42.381876,-71.162344,1154,,106638,7
42.382018,-71.161468,1154,,106638,7
42.38217,-71.160557,1154,,106638,7
42.395024,-71.106735,1154,,106670,7
42.281966,-71.117831,1154,,106676,7
42.260629,-71.031811,1154,,106696,7
42.404327,-71.171772,1154,,106716,7
42.405212,-71.172451,1154,,106716,7
42.406316,-71.172541,1154,,106716,7
42.407581,-71.172002,1154,,106716,7
42.200159,-71.005601,1154,,106717,7
42.426223,-71.183499,9427,2021,1402,4
42.346206,-71.15101,1154,,106720,7
42.346396,-71.150899,1154,,106720,7
42.347684,-71.150074,1154,,106720,7
42.314065,-71.066791,1154,,106721,7
42.251979,-71.144095,1154,,106730,7
42.25171,-71.14323,1154,,106730,7
42.25161,-71.142834,1154,,106730,7
42.251933,-71.145266,1154,,106730,7
42.326839,-71.146718,1154,,106732,7
42.249729,-71.075811,1154,,106771,7
42.250411,-71.074523,1154,,106771,7
42.241482,-71.142524,1154,,106776,7
42.240761,-71.139638,1154,,106776,7
42.240351,-71.137178,1154,,106776,7
42.271262,-71.031398,1154,,106796,7
42.313685,-71.106652,1154,,106818,7
42.426957,-71.185766,1154,,106823,7
42.346237,-71.160977,1154,,106826,7
42.427999,-71.193523,3506,2021,2343,5
42.383778,-70.985229,6034,2021,2304,5
42.302396,-71.19008,1154,,106847,7
42.303584,-71.189902,1154,,106847,7
42.305356,-71.18843,1154,,106847,7
42.306109,-71.18732,1154,,106847,7
42.307001,-71.19002,1154,,106862,7
42.248579,-71.167501,12789,2022,071,3
42.335634,-71.19937,1154,,106937,7
42.3369,-71.19968,1154,,106937,7
42.404144,-71.088925,1154,,106944,7
42.404702,-71.088913,1154,,106944,7
42.407245,-71.088825,1154,,106944,7
42.4094,-71.088428,1154,,106944,7
42.28155,-71.05087,1154,,106961,7
42.412949,-71.155068,1154,,106971,7
42.411599,-71.15308,1154,,106971,7
42.427696,-71.075093,1154,,106973,7
42.427721,-71.075098,1154,,106973,7
42.428266,-71.075204,1154,,106973,7
42.434294,-71.029227,1154,,106982,7
42.369103,-71.191399,1154,,106987,7
42.369592,-71.190365,21205,2016,20,3
42.241873,-71.141523,1154,,106994,7
42.241441,-71.139808,1154,,106994,7
42.2406,-71.135727,1154,,106994,7
42.23598,-71.131368,1154,,106996,7
42.366011,-71.145895,1154,,106999,7
42.338349,-71.090463,1154,,107004,7
42.423332,-71.096166,1154,,107005,7
42.306258,-71.083114,1154,,107017,7
42.305715,-71.08192,1154,,107017,7
42.388457,-71.087462,1154,,107021,7
42.389069,-71.086937,1154,,107021,7
42.389098,-71.086678,1154,,107021,7
42.26695,-71.096397,1154,,107022,7
42.30962,-71.061035,1154,,107029,7
42.43593,-71.043153,4091,2021,2137,5
42.356909,-71.197252,1154,,107032,7
42.427064,-71.0241,1154,,107054,7
42.35467,-71.055698,1154,,107058,7
42.403237,-71.163362,1154,,107059,7
42.402752,-71.162785,1154,,107059,7
42.252017,-70.99951,1154,,107072,7
42.381608,-70.976898,5888,2021,2305,5
42.347929,-71.134754,1154,,107085,7
42.348284,-71.13516,1154,,107085,7
42.399999,-71.129551,1154,,107099,7
